source_id,product_id,source_type,source_url,source_status,checked_at,note
source-pet-insect-001,pet-insect-001,official_product_catalog,https://www.fujikon.net/04mat.htm,not_found_official,2026-07-19,フジコン公式現行昆虫マット一覧にバイオ育成クヌギマットを確認できない。
source-pet-dog-001,pet-dog-001,official_product_page,https://www.npf.co.jp/dog-products/dog-detail/bdg,verified_active,2026-07-18,公式商品ページで子犬用12ヵ月頃まで・犬用・成長期犬用総合栄養食を確認。
source-pet-dog-002,pet-dog-002,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで成犬用1歳からを確認。
source-pet-dog-003,pet-dog-003,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで10歳以上を確認。
source-pet-dog-004,pet-dog-004,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで低脂肪1歳からを確認。
source-pet-dog-005,pet-dog-005,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップでダイエット1歳からを確認。
source-pet-dog-006,pet-dog-006,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで歯の健康1歳からを確認。
source-pet-dog-007,pet-dog-007,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップでおなかの健康1歳からを確認。
source-pet-dog-008,pet-dog-008,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで食物アレルゲンに配慮1歳からを確認。
source-pet-dog-009,pet-dog-009,official_product_lineup,https://www.npf.co.jp/beautypro/dog/lineup/index.html,verified_active,2026-07-18,公式ラインアップで食物アレルゲンに配慮10歳以上を確認。
