product_id,verification_status,official_url,source_type,checked_at,verification_note
pet-dog-001,verified_active,https://www.npf.co.jp/dog-products/dog-detail/bdg,official_product_page,2026-07-18,公式商品ページで子犬用12ヵ月頃まで・犬用・成長期犬用総合栄養食を確認。
pet-dog-002,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで成犬用1歳からを確認。
pet-dog-003,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで10歳以上を確認。
pet-dog-004,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで低脂肪1歳からを確認。
pet-dog-005,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップでダイエット1歳からを確認。
pet-dog-006,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで歯の健康1歳からを確認。
pet-dog-007,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップでおなかの健康1歳からを確認。
pet-dog-008,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで食物アレルゲンに配慮1歳からを確認。
pet-dog-009,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで食物アレルゲンに配慮10歳以上を確認。
pet-dog-010,verified_active,https://www.npf.co.jp/beautypro/dog/lineup/index.html,official_product_lineup,2026-07-18,公式ラインアップで大粒タイプ1歳からを確認。
pet-dog-021,verified_active,https://www.npf.co.jp/dog-products/dog-detail/vkc,official_product_page,2026-07-18,公式商品ページで国産チキンのレシピ成犬用・犬用・成犬用総合栄養食を確認。
pet-dog-024,verified_active,https://www.dbfpet.co.jp/food-series/canning-150/,official_product_lineup,2026-07-18,公式150g缶シリーズの製品一覧でささみ＆レバーミンチ野菜入りを確認。
pet-rabbit-001,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/14,official_product_lineup,2026-07-18,公式ラインアップでバニーセレクション シニア・うさぎ用・5歳以上を確認。
pet-rabbit-002,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/14,official_product_lineup,2026-07-18,公式ラインアップでバニーセレクション スーパーシニア・うさぎ用・7歳からを確認。
pet-rabbit-003,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/14,official_product_lineup,2026-07-18,公式ラインアップでネザーランドドワーフ専用を確認。
pet-rabbit-004,verified_active,https://www.yeaster.co.jp/products/rabbitfood/category/77,official_product_lineup,2026-07-18,公式一覧でロップイヤー専用を確認。
pet-rabbit-006,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/20,official_product_lineup,2026-07-18,公式ラインアップでバニーセレクションプロ グロース・生後7ヵ月までを確認。
pet-rabbit-007,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/20,official_product_lineup,2026-07-18,公式ラインアップでバニーセレクションプロ メンテナンス・生後7ヵ月以上を確認。
pet-rabbit-008,verified_active,https://www.yeaster.co.jp/products/rabbitfood/brand/20,official_product_lineup,2026-07-18,公式ラインアップでバニーセレクションプロ シニア・5歳以上を確認。
pet-rabbit-017,verified_active,https://www.npf.co.jp/lovision/index.html,official_product_lineup,2026-07-18,公式ブランドページでラビジョン ラビットフード オールステージを確認。
pet-rabbit-018,verified_active,https://www.npf.co.jp/lovision/index.html,official_product_lineup,2026-07-18,公式ブランドページでラビジョン ラビットフード 5歳からのシニアを確認。
pet-small_mammal-001,verified_active,https://www.kyorin-net.co.jp/animal/an06.html,official_product_page,2026-07-18,公式商品ページでひかりハムハム・全ハムスター用・全年齢対応完全栄養食を確認。
pet-small_mammal-009,verified_active,https://www.kyorin-net.co.jp/animal/index.html,official_product_lineup,2026-07-18,公式小動物用飼料一覧でひかりハリネズを確認。
pet-small_mammal-011,verified_active,https://www.yeaster.co.jp/products/smallanimalfood/brand/15,official_product_lineup,2026-07-18,公式ラインアップでハムスターセレクションを確認。
pet-small_mammal-014,verified_active,https://www.yeaster.co.jp/news/detail/62,official_product_lineup,2026-07-18,公式新商品案内でモルモットセレクションプロを確認。
pet-small_mammal-015,verified_active,https://www.yeaster.co.jp/news/detail/62,official_product_lineup,2026-07-18,公式新商品案内でチンチラセレクションプロを確認。
pet-small_mammal-016,verified_active,https://www.yeaster.co.jp/news/detail/62,official_product_lineup,2026-07-18,公式新商品案内でデグーセレクションプロを確認。
pet-small_mammal-017,verified_active,https://www.yeaster.co.jp/products/smallanimalfood/brand/15,official_product_lineup,2026-07-18,公式ラインアップでハリネズミセレクションを確認。
pet-bird-001,verified_active,https://www.kyorin-net.co.jp/bird/index.html,official_product_lineup,2026-07-18,公式鳥用飼料一覧でキラピピ インコ小粒を確認。セキセイインコ・小型インコ向け。
pet-bird-002,verified_active,https://www.kyorin-net.co.jp/bird/index.html,official_product_lineup,2026-07-18,公式鳥用飼料一覧でキラピピ インコ中粒を確認。オカメインコ・中型インコ向け。
pet-bird-003,not_found_official,https://www.kyorin-net.co.jp/bird/bird05.html,official_product_lineup,2026-07-18,公式現行ラインアップはキラピピ フィンチのみで小粒バリアントを確認できない。容量・粒径の別表記候補として通常マスタから除外候補。
pet-bird-004,not_found_official,https://www.kyorin-net.co.jp/bird/bird05.html,official_product_lineup,2026-07-18,公式現行ラインアップはキラピピ フィンチのみで中粒バリアントを確認できない。容量・粒径の別表記候補として通常マスタから除外候補。
pet-bird-006,not_found_official,https://www.kyorin-net.co.jp/bird/index.html,official_product_lineup,2026-07-18,公式現行名称はキラピピ インコ小粒でありセキセイインコは対象種。別プロダクト名としては確認できないため重複候補。
pet-bird-007,not_found_official,https://www.kyorin-net.co.jp/bird/index.html,official_product_lineup,2026-07-18,公式現行名称はキラピピ インコ中粒でありオカメインコは対象種。別プロダクト名としては確認できないため重複候補。
pet-bird-008,not_found_official,https://www.kyorin-net.co.jp/bird/index.html,official_product_lineup,2026-07-18,公式現行名称はキラピピ インコ小粒でありコザクラインコは対象種。別プロダクト名としては確認できないため重複候補。
pet-aquarium_fish-001,verified_active,https://www.kyorin-net.co.jp/gold/index.html,official_product_lineup,2026-07-18,公式金魚用飼料一覧でひかりチャッピーを確認。
pet-aquarium_fish-002,verified_active,https://www.kyorin-net.co.jp/gold/index.html,official_product_lineup,2026-07-18,公式金魚用飼料一覧でリュウキンゴールドを確認。
pet-aquarium_fish-003,verified_active,https://www.kyorin-net.co.jp/gold/index.html,official_product_lineup,2026-07-18,公式金魚用飼料一覧でアイドルを確認。
pet-aquarium_fish-004,verified_active,https://www.kyorin-net.co.jp/gold/go11.html,official_product_page,2026-07-18,公式商品ページでベビーゴールドを確認。
pet-aquarium_fish-005,verified_active,https://www.kyorin-net.co.jp/gold/index.html,official_product_lineup,2026-07-18,公式金魚用飼料一覧でプロリアを確認。
pet-aquarium_fish-006,verified_active,https://www.kyorin-net.co.jp/gold/index.html,official_product_lineup,2026-07-18,公式金魚用飼料一覧でプロリア 色揚を確認。
pet-aquarium_fish-024,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧ですくすくメダカを確認。
pet-aquarium_fish-025,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧で教材メダカのエサを確認。
pet-aquarium_fish-026,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカのエサ うきうきフレークを確認。
pet-aquarium_fish-027,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧で教材ちびっこメダカのエサを確認。
pet-aquarium_fish-028,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカプロスベビーを確認。
pet-aquarium_fish-029,verified_active,https://www.kyorin-net.co.jp/fresh/fr12.html,official_product_page,2026-07-18,公式商品ページでメダカプロスを確認。
pet-aquarium_fish-030,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカプロス 産卵繁殖を確認。
pet-aquarium_fish-031,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカプロス色揚を確認。
pet-aquarium_fish-032,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でひかりメダカフレークを確認。
pet-aquarium_fish-033,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカベビー・稚魚のエサ ハイパー育成を確認。
pet-aquarium_fish-034,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカ幼魚 ハイパー育成を確認。
pet-aquarium_fish-035,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカのエサ 産卵繁殖用を確認。
pet-aquarium_fish-036,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカのエサ ハイパー色揚を確認。
pet-aquarium_fish-037,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカのエサ ハイパー良消化を確認。
pet-aquarium_fish-038,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞ベビーを確認。
pet-aquarium_fish-039,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞ネクストを確認。
pet-aquarium_fish-040,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞コンプリートを確認。
pet-aquarium_fish-041,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞ブリードを確認。
pet-aquarium_fish-042,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞スーパーオレンジを確認。
pet-aquarium_fish-043,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式メダカ・川魚用飼料一覧でメダカの舞メンテナンスを確認。
pet-aquarium_fish-046,verified_active,https://www.kyorin-net.co.jp/product/index.html,official_product_lineup,2026-07-18,公式商品一覧でひかりプランクトンを確認。
